Patent/Practical Model,Title,Abstract,Claim,Number of Claims,Application Number,Application Date,Year,Public Number,Public Date,Registeration Number,Registeration Date,Applicant,Inventor,Original CPC All,CPC,WIPS ON key
P,"System, Method and Apparatus for Real-Time Access to Networked Radiology Data","A method for generating DICOM images as part of a real-time virtual medical consultation includes receiving, by a handheld patient device associated with a patient, a DICOM image associated with the patient generated by a diagnostic device, encrypting, by the handheld patient device, the DICOM image and linking the encrypted DICOM image to a unique patient identifier associated with the patient, wherein the handheld patient device is one of a tablet computer and a smartphone, and transmitting, by the handheld patient device, the encrypted DICOM image to a server configured to provide a DICOM viewer option within a secure telemedicine platform accessible by a medical professional and executed by the server.","1. A method comprising: receiving, by a handheld patient device associated with a patient, a DICOM image associated with the patient and generated by a diagnostic device;encrypting, by the handheld patient device, the DICOM image, wherein the handheld patient device is one of a tablet computer and a smartphone; andtransmitting, by the handheld patient device, the encrypted DICOM image to a medical professional device associated with a medical professional.",20,16/990074,2020-08-11,2020,2020-0373020,2020-11-26,,,Fawzi Shaya,Fawzi  Shaya,G16H-0080/00 | G16H-0040/20 | A61B-0005/746 | H04W-0012/003 | A61B-0005/0022 | H04L-0063/0428 | G06F-0003/0482,G16H,5.42E+12
P,Techniques facilitating mobile telemedicine for stroke patients,"A method for facilitating mobile telemedicine for a suspected stroke case can include initiating, with an evaluation device, a prehospital mobile telemedicine videoconference with a remote device when a projected amount of time exceeds a threshold. The method can include determining for presentation, a set of specified symptoms of a stroke, the specified symptoms obtained remotely using the prehospital mobile telemedicine videoconference, obtaining input from a user, including information indicative as to whether a patient is exhibiting symptoms of a stroke, and in response to obtaining input, transmitting, from the evaluation device to the remote device, the information indicative as to whether the patient is exhibiting symptoms of a stroke. The method can include generating a medical alert, at the evaluation device, the medical alert including patient information and the information indicative as to whether the patient is exhibiting symptoms of a stroke.","1. A system for facilitating mobile telemedicine for a suspected stroke case comprising: a processor of a mobile device;memory of the mobile device, the memory coupled to the processor, the memory including instructions, which when executed by the processor, cause the processor to:project an amount of time for a vehicle transporting a patient to arrive at a specified hospital;select an evaluation threshold based on patient treatment parameters;compare the projected amount of time to the evaluation threshold, the evaluation threshold indicating a minimum amount of time required for a prehospital telemedicine videoconference; andin response to the comparison, initiate, with a mobile computing device, the prehospital telemedicine videoconference with an evaluation device when the projected amount of time exceeds the evaluation threshold;receive, from the evaluation device, a set of specified symptoms of a stroke and information indicative as to whether the patient is exhibiting symptoms of a stroke, using the prehospital mobile telemedicine videoconference; andgenerate a medical alert, the medical alert including patient information and the information indicative as to whether the patient is exhibiting symptoms of a stroke.",25,14/910890,2014-08-19,2014,2016-0188829,2016-06-30,10846370,2020-11-24,University of Virginia Patent Foundation,Andrew M.  Southerland | Sherita N.  Chapman Smith | Brian S.  Gunnell,G06F-0019/3418 | G06Q-0010/10 | G06Q-0050/22 | G16H-0080/00 | H04N-0007/142 | H04N-0007/15,G06F,4.92E+12
P,DISCRETE WAVELET TRANSFORM-BASED NOISE REMOVAL APPARATUS FOR REMOVING NOISE FROM IMAGE SIGNAL AND REMOTE MEDICAL DIAGNOSIS SYSTEM INCLUDING THE SAME,"A discrete wavelet transform-based noise removal apparatus and a remote medical diagnosis system using the same. The discrete wavelet transform-based noise removal apparatus can effectively remove noise from various medical images including ultrasound images, images indicative of results of biological or chemical reaction on a bio-disc, images obtained by medical devices, and images for telemedicine.",1. A noise removal apparatus comprising: an image signal reception sensor unit receiving a measured image signal;a wavelet transform unit performing discrete wavelet transform on the image signal received from the image signal reception sensor unit to divide the image signal into a low-frequency image composed of a low-frequency component and a high-frequency image composed of a high-frequency component;a noise generator generating plural noise images containing noise similar to a noise component in the high-frequency image;a high-frequency image summation unit summing and averaging the high-frequency image and the plural noise images generated by the noise generator to generate a noise-attenuated high-frequency image; andan inverse discrete wavelet transform unit synthesizing the low-frequency image and the noise-attenuated high-frequency image to generate a denoised image.,19,16/665169,2019-10-28,2019,2020-0357098,2020-11-12,,,"HEALCERION CO., LTD.",Jae Chern  YOO,G06T-0005/002 | A61B-2562/08 | G06T-0007/337 | G06T-0007/0012 | G16H-0040/67 | G16H-0050/20 | G16H-0080/00 | A61B-0005/726 | A61B-0005/7203 | A61B-0005/02427 | A61B-0005/055 | A61B-0006/032 | A61B-0008/4472 | A61B-0005/0022 | A61B-0006/5258 | A61B-0008/5269 | A61B-0005/0077 | G06T-2207/10016 | G06T-2207/20081 | G06T-2207/20084 | G06T-2207/30048 | G06T-0005/50,G06T,5.42E+12
P,Method and Apparatus for Mobile Stroke Self-Detection,"Disclosed herein are implementations of a method and apparatus for stroke self-detection. The method and apparatus may include a mobile platform for stroke detection. The method may include receiving sensor data. The method may include comparing the sensor data with a baseline test result to determine a test score. The method may include determining a passing test result based on a threshold. The method may include transmitting the results or an alert to one or more of an emergency contact, emergency medical services, a physician, or a telemedicine provider.","1. A method for stroke self-detection, the method comprising: displaying an instruction on a display;obtaining sensor data based on the instruction, wherein the sensor data includes accelerometer data and image capture data;determining a stroke self-detection score based on the obtained sensor data;storing the stroke self-detection score in a memory;displaying the stroke self-detection score on the display as a result summary; andon a condition that the stroke self-detection score is above a threshold, transmitting an alert.",20,16/861363,2020-04-29,2020,2020-0350075,2020-11-05,,,"Destroke, Inc.",Evan  Noch | Tomer M.  Yaron | Ciarra  King | Dmitrii  Meleshko | Yubin  Xie | Suniyya  Waraich | James  Hess,G16H-0050/30 | G06F-0003/011 | G06F-0003/017 | G06T-0007/0014 | G06T-0007/74 | G06T-2207/30201 | G06K-0009/0061 | G06K-0009/00228 | G06K-0009/00335 | G10L-0015/26 | G06K-0009/6202,G16H,5.42E+12
P,METHODS AND SYSTEMS FOR TELEHEALTH CONSULTATION,Embodiments provide a method or a system for integrating multiple processed involved in telehealth consultation. The method includes connecting the patient with the telehealth providers while monitoring status of the telehealth providers to provide quick consultation to the patients. The method integrates process of bill generation and medical report generation and other procedurals with the consultation process. The medical report and bills are generated as soon as the consultation is over based on medical inputs and billing details provided by the telehealth providers.,"1. An integrated telehealth management method, the method comprising: receiving, by a server and through at least one application interface, a consultation request for a health consultation of a patient from a computing device of a telehealth provider facility, wherein the consultation request corresponds to an emergency, the consultation request comprising personal and health details of the patient;extracting, by the server, telehealth provider information related to a plurality of telehealth providers, the telehealth provider information indicating an availability status of each of the plurality of telehealth providers and a waiting time of each of the plurality of telehealth providers required before starting a session for the health consultation of the patient;causing, by the server and using the at least one application interface, the telehealth provider information to render on a display of the computing device of the telehealth provider;receiving, by the server and through the at least one application interface, a notification from the computing device of the telehealth provider facility indicating a selection of a telehealth provider of the plurality of telehealth providers based on the availability status and a least waiting time among the plurality of telehealth providers of the telehealth provider information;assigning, by the server, the consultation request to the selected telehealth provider, including: sending, by the server and using the at least one application interface, a notification to the computing device of the medical facility indicating the assigned telehealth provider and an associated waiting time of the telehealth provider;tracking, by the server and in real-time, an on-going health check-up session of the assigned telehealth provider;determining, by the server, completion of the on-going health check-up session of the assigned telehealth provider;upon determining the completion, initiating, by the server and using the at least one application interface, a communications session between a device of the patient and a device of the assigned telehealth provider;determining, by the server, completion of the communications session;generating, by the server, post-communications session information representing a medical report and a bill for the communications session based on input received, by the server and through the at least one application interface, from the computing device of the telehealth provider; andsending, by the server and using the at least one application interface, the post-communications session information to the computing device of the telehealth provider facility.",20,16/397850,2019-04-29,2019,2020-0342963,2020-10-29,,,American Well Corporation,Ash  MOHAMMAD,G16H-0010/60 | G16H-0015/00 | G06Q-0020/14,G16H,5.42E+12
P,METHOD AND SYSTEM FOR AUTOMATED MEDICAL RECORDS PROCESSING WITH TELEMEDICINE,"A method and system for automated medical records processing with telemedicine is presented. The method and system includes plural electronic medical templates specifically designed such that they reduce the complexity and risk associated with collecting virtual patient encounter information, creating a medical diagnosis, tracking the patient through the medical processes during a telemedicine session and generate the appropriate number and type medical codes for a specific type of medical practice when processed. The medical codes and other types of processed virtual patient encounter information are displayed in real-time on electronic medical records and invoices immediately after a virtual patient encounter from a telemedicine visit.","1. A method for automated processing of medical information with telemedicine, comprising: creating on a plurality of cloud server network devices each with a telemedicine application and one or more processors on a cloud communications network, a plurality of pooled cloud hardware resources comprising: (1) automatic provisioning of a plurality of pooled cloud hardware resources usable in any amount at any time as needed and available via a plurality of cloud broadband network access components on the plurality of cloud server network devices; (2) automatic scaling of the plurality of pooled cloud hardware resources to obtain and release one or more of the plurality of pooled cloud hardware resources as required; (3) automatic controlling and optimizing the plurality of pooled cloud hardware resources with a metering method; (4) a plurality of cloud software services for automated processing of medical information including a cloud Platform as a Service (PaaS), a cloud computing Infrastructure as a Service (IaaS), and plurality of available cloud Software services as a Service (SaaS) including a plurality of different software services for automated risk reduction in processing of medical records information after virtual patient encounters via a telemedicine visit, the plurality of cloud software services for automated processing of medical information comprising: cloud networking services, storage services, virtualization services, operating system services, run-time services, data services and application services executed with the plurality of pooled cloud hardware resources;receiving on a first telemedicine application on a first cloud network device with one or more processor a request for a telemedicine visit and virtual patient encounter from a client telemedicine application on a client network device with one or more client network device processors;applying one or more balancing methods in real-time on the first telemedicine application on the first cloud server network device creating a balancing selection including: (1) balancing telemedicine visit workflow across the plurality of other telemedicine applications on the plurality of other cloud server network devices and across the plurality of pooled cloud hardware resources and the plurality of cloud software services, and (2) balancing telemedicine patient load across a plurality of medical facilities including an availability of plurality of medical personnel at the plurality of medical facilities and a current actual patient load and current telemedicine patient load at the plurality of medical facilities;selecting from the first telemedicine application on the first cloud server network device with the balancing selection from the one or more balancing methods a selected telemedicine application on a selected cloud server network device to accept the request for the telemedicine visit and the virtual patient encounter;sending a selection message from the first telemedicine application on the first cloud server network device via the cloud communications network to the selected telemedicine application on the selected cloud server network device indicating the selected telemedicine application on the selected cloud server network device has been selected to accept the telemedicine visit and the virtual patient encounter;selecting from the selected telemedicine application on the selected cloud server network device a PaaS and an IaaS provided by the plurality of pooled cloud hardware resources on the cloud communications network;selecting from the selected telemedicine application on the selected cloud server network device via the on the cloud communications network, a first set of SaaS cloud services from the plurality of available cloud SaaS services for automated electronic medical records processing including reducing risk and reducing a number of possible diagnostic decisions when processing medical records from the virtual patient encounter via the telemedicine visit;selecting from the selected telemedicine application on the selected cloud server network device, one or more SaaS services from the selected first set of SaaS cloud services a plurality of individual data structures comprising a plurality of medical information matrixes including a patient tracking (PT) matrix, historical information (HX) matrix, patient examination (PX) matrix, complexity risk (CX) information matrix and an Evaluation and Management (E/M) summary information matrix, each with a plurality of unique matrix information fields, the plurality of individual data structures stored in one or more cloud storage objects on the cloud communications network and available to the first set of SaaS cloud services selected by the selected telemedicine application on the selected cloud server network device;collecting data securely on the selected telemedicine application on the selected cloud server network device via the cloud communications network from the client t...",20,16/926898,2020-07-13,2020,2020-0342966,2020-10-29,,,David E. STERN,David E.  STERN,G16H-0010/60 | G06Q-0030/0185 | G16H-0040/67 | G06Q-0010/06315 | G06Q-0010/0635 | G16H-0040/20 | G16H-0080/00 | G16H-0050/20 | G16H-0050/70 | G16H-0070/20 | G06Q-0030/04 | G06Q-0040/08 | G16H-0015/00 | G06Q-0010/04 | G16H-0070/60 | G06Q-0010/10 | H04L-0067/12 | G06F-0016/9538,G16H,5.42E+12
P,Tele-robotic system with a robot face placed on a chair,"A robot system that includes a robot face with a monitor, a camera, a speaker and a microphone. The robot face is connected to a stand that can be placed in a chair. The stand is configured so that the robot face is at a height that approximates the location of a person's head if they were sitting in the chair. The robot face is coupled to a remote station that can be operated by a user. The face includes a monitor that displays a video image of a user of the remote station. The stand may be coupled to the robot face with articulated joints that can be controlled by the remote station. By way of example, the user at the remote station can cause the face to pan and/or tilt.","1. A robot face system that can be placed on a chair, comprising: a robot face that includes a camera, a monitor, a microphone and a speaker; anda stand that is connected to said robot face, wherein said stand is disposed between said robot face and said chair, said stand has a lower portion adapted to be placed on a surface of the chair and support said robot face on the chair, said lower portion does not include wheels, said robot face is connected to said stand by a pan joint that can move said camera and monitor relative to the stand about a pan axis, and said stand has a length so that the height of the robot face is at least twelve inches above the surface of the chair.",18,12/907420,2010-10-19,2010,2011-0292193,2011-12-01,10808882,2020-10-20,"INTOUCH TECHNOLOGIES, INC.",Yulun  Wang | Timothy C  Wright | Daniel S  Sanchez | Marco C  Pinter,F16M-0013/00 | F16M-0011/10 | F16M-0011/2014 | H04N-0007/183 | F16M-2200/08,F16M,4.92E+12
P,AUTOMATED CONDITION SCREENING AND DETECTION,"Embodiments are disclosed that enable an electronic device to instruct as user how to user one or more noninvasive sensors to measure one or more physiological parameters of a patient. In one embodiment, the measured parameters are used to obtain a diagnosis, such as a diagnosis of a critical congenital heart defect.","2. A system for noninvasively measuring a physiological parameter of a patient to facilitate a diagnosis, the system comprising: an electronic device comprising a display, a wireless transceiver, a memory device comprising processor-executable instruction stored thereon, and a hardware processor in communication with the display, wireless transceiver, and the memory;the hardware processor programmed to execute the processor-executable instructions stored in the memory so as to: display, on the display, instructions to obtain a first measurement by positioning a first noninvasive sensor at a first measurement site on a patient;receive, from the noninvasive sensor, first signals responsive to a first physiological characteristic of the patient;calculate a first measured physiological parameter responsive to the first signals;display, on the display, instructions to obtain a second measurement by positioning a second noninvasive sensor at a second measurement site on the patient;receive, from the second noninvasive sensor, second signals responsive to a second physiological characteristic of the patient;calculate a second measured physiological parameter of the patient responsive to the second signals;display, on the display, the first and second measured physiological parameters;transmit, with the wireless transceiver, the first and second measured parameters over a network to a clinician; andinitiate, with the wireless transceiver, a telemedicine session with the clinician over the network to obtain a diagnosis based on the first and second measured parameters.",8,16/911799,2020-06-25,2020,2020-0323494,2020-10-15,,,Masimo Corporation,Ammar  Al-Ali | Bilal  Muhsin | Keith  lndorf,A61B-0005/7275 | A61B-0005/024 | A61B-0005/7278 | A61B-0005/6825 | A61B-0005/6829 | A61B-0005/684 | A61B-0005/7221 | A61B-0005/7282 | A61B-0005/743 | A61B-0005/0205 | A61B-0005/0295 | A61B-0005/14552 | A61B-0005/02028 | G16H-0050/20 | G16H-0080/00 | G16H-0040/67 | A61B-2503/04 | A61B-0005/14551,A61B,5.42E+12
P,INTEGRATED PREDICTIVE ANALYSIS APPARATUS FOR INTERACTIVE TELEHEALTH AND OPERATING METHOD THEREFOR,"The present disclosure generally relates to an integrated predictive analytics system and method that provides an interactive telehealth diagnosis, including classification and recognition of health data, recommendation analysis for health, and cognitive telehealth visualization of health data. Provided is an integrated predictive analytics apparatus for interactive telehealth. The integrated predictive analytics apparatus includes a hub configured to receive sensor data from sensor devices and generate health data by processing the sensor data and a healthcare analytics unit configured to process and visualize health data.","1. An integrated predictive analytics apparatus for interactive telehealth, the integrated predictive analytics apparatus comprising: a health data repository storing disease data; anda healthcare analytics unit configured to process and visualize, based on the disease data, health data generated based on sensor data obtained from sensor devices, the healthcare analytics unit comprising a computation engine.",20,16/756638,2018-12-10,2018,2020-0327986,2020-10-15,,,"Samsung Electronics Co., Ltd.",Agus  KURNIAWAN | Josephine  KUSNADI | Risman  ADNAN,G16H-0050/20 | G16H-0040/67 | G16H-0070/60 | G16H-0050/70 | G16H-0015/00 | A61B-0005/7264 | G06F-0021/602 | A61B-0005/0022 | A61B-0005/7275 | A61B-0005/7445 | G16H-0030/40,G16H,5.42E+12
P,"Color analysis and control using a transparent display screen on a mobile device with non-transparent, bendable display screen or multiple display screen with 3D sensor for telemedicine diagnosis and treatment","The present disclosure relates to mobile electronic devices including at least one transparent display screen for color analysis and control relating to medical conditions using an electronic mobile device have a transparent display screen and a non-transparent display screen, bendable display screen and multiple screen device with 3D sensor used as telemedicine device. Color data for a perceived color stores in a memory and displays images as perceived through the transparent display screen. Image difference values are determined between a first set of optical processing data and a second set of optical processing data. The transparent display screen indicates image difference values from including differences in color, texture, transparency, lighting, etc., especially for augmented reality applications.","1. A method for comparing and accurately determining the color of a predetermined human body part using an electronic mobile device comprising at least one transparent display screen, the method comprising the steps of: storing optical processing data and optical processing instructions and algorithms in a memory associated with the electronic mobile device; operating a computer processor associated with the electronic mobile device for executing said optical processing instructions and algorithms in response to optical processing data generated by the electronic mobile device; directing an optical lens of said electronic mobile device to capture an image in three dimensions of a human body part for display on at least one transparent display screen of said mobile electronic device, wherein said transparent display screen comprises a head-mounted display in the form of a pair of augmented reality glasses; collecting a first set of optical processing data using data deriving from the capture of the image in three dimensions through said optical lens of said electronic mobile device, said first set of optical processing data comprising a first set of color and three-dimensional texture data; displaying the human body part for display through a transparent portion of said the at least one transparent display screen of the mobile electronic device; receiving and storing in said memory a second set of color and three-dimensional texture data associated with a perceived color and perceived three-dimensional texture of the human body part for display as perceived through said at least one transparent display screen; executing instructions on said computer processor associated with said the electronic mobile device for determining image color and three-dimensional texture difference values between said first set of optical processing data and said second set of optical processing data; displaying on said at least one transparent display screen values for said image color and three-dimensional texture differences from the group consisting of color differences, texture differences, transparency differences, lighting differences, motion differences, and focus differences; and further enhancing said the transparent display screen through collection of various information for feedback with utilization of all sensors to include 3D camera and or 3D sensor; and further displaying matching color and three-dimensional texture samples for selection by a user for matching according to said image difference values using three-dimensional and parallax touchscreen operation for distinguishing pressure differences in touch screen control according to variations in color and three-dimensional texture; further displaying matching three-dimensional texture samples for selection by a user for matching according to said image difference values; continuing to receive user selections of said matching color images and said matching three-dimensional texture samples according to said texture difference values according to control inputs from a user; and completing selection of said matching color images and said matching three-dimensional texture samples until receiving a cycle completed input into said computer processor.",20,16/439821,2019-06-13,2019,2019-0311796,2019-10-10,10803988,2020-10-13,"SK COMMERCIAL CONSTRUCTION, INC.",Suk K.  Kim-Whitty,G16H-0030/40 | A61B-0005/1032 | G06T-0001/0007 | G06T-0007/90 | G06T-0011/60 | G06T-0019/006 | G16H-0030/20 | G06T-0007/0014 | G06T-0007/529 | G06T-0011/001 | H04N-0007/142 | H04N-2007/145,G16H,4.92E+12
